,occ,dim_0,dim_1,emp_2018,wage,sqrt_emp
589,Social and community service managers,14.853814,12.839031,175.5,67150.0,13.24764129949177
590,Social and human service assistants,8.081289,9.886126,425.6,35060.0,20.630075133164205
591,Social science research assistants,0.67289287,17.213274,40.1,47510.0,6.332456079595025
592,"Social scientists and related workers, all other",27.442429,18.276548,38.8,83330.0,6.2289646009589745
599,"Special education teachers, all other",15.330025,-3.5894127,36.6,61190.0,6.04979338490167
600,"Special education teachers, kindergarten and elementary school",11.54003,10.961839,193.0,60460.0,13.892443989449804
602,Special effects artists and animators,-2.6173544,9.367208,67.5,75270.0,8.215838362577491
603,Speech-language pathologists,9.747862,10.860365,162.6,79120.0,12.751470503436064
606,Statisticians,22.78041,21.579775,42.7,91160.0,6.534523701081817
608,Structural iron and steel workers,-15.812944,-20.31014,77.0,55040.0,8.774964387392123
609,Structural metal fabricators and fitters,-27.376257,-10.716207,78.5,40390.0,8.860022573334675
611,Surgical technologists,6.337972,-5.11445,111.3,48300.0,10.549881515922348
613,Surveying and mapping technicians,-2.0139797,0.2786624,58.4,45010.0,7.64198926981712
614,Surveyors,29.158478,6.2075176,48.0,63420.0,6.928203230275509
615,"Switchboard operators, including answering service",-11.960577,10.444418,69.9,30610.0,8.360621986431392
616,"Tailors, dressmakers, and custom sewers",-13.259962,-7.948448,37.3,31520.0,6.107372593840988
619,"Tax examiners and collectors, and revenue agents",2.6688125,11.811969,57.6,54890.0,7.58946638440411
620,Tax preparers,0.23489128,13.644637,88.4,43080.0,9.402127418834526
621,Technical writers,-1.8972529,5.061384,58.4,72850.0,7.64198926981712
622,"Telecommunications equipment installers and repairers, except line installers",-7.767812,-10.042824,215.7,57910.0,14.68672870315238
623,Telecommunications line installers and repairers,-8.298052,-10.764849,123.6,56750.0,11.117553687749837
624,Telemarketers,-13.239795,14.627417,136.9,26290.0,11.700427342623003
626,Tellers,2.4174645,6.3416,449.0,31230.0,21.18962010041709
632,Tile and stone setters,-14.096185,-19.925543,57.0,43050.0,7.54983443527075
634,Tire repairers and changers,-10.023667,-13.624144,113.4,28640.0,10.648943609579309
635,"Title examiners, abstractors, and searchers",-4.7357335,16.592897,63.6,48180.0,7.974960814950754
636,Tool and die makers,3.0306296,-18.032377,72.5,53920.0,8.514693182963201
639,Training and development managers,30.553068,21.211273,42.3,113350.0,6.5038450166036395
640,Training and development specialists,24.096712,18.074276,327.9,61210.0,18.10800927766495
643,Transportation security screeners,-12.588252,-0.3383923,51.4,41770.0,7.1693793315739685
644,"Transportation, storage, and distribution managers",19.336071,5.15648,139.4,94560.0,11.806777714516354
645,Travel agents,1.1882167,14.959192,82.0,40660.0,9.055385138137417
646,Tree trimmers and pruners,-12.982614,-22.290588,62.0,39980.0,7.874007874011811
649,Urban and regional planners,30.32823,23.351543,39.7,74350.0,6.300793600809346
650,"Ushers, lobby attendants, and ticket takers",-21.090681,4.520461,139.0,23500.0,11.789826122551595
651,Veterinarians,14.419857,-0.9205627,89.2,95460.0,9.444575162494075
652,Veterinary assistants and laboratory animal caretakers,5.6405253,-1.3995098,99.5,28590.0,9.974968671630002
653,Veterinary technologists and technicians,5.621011,-2.5072196,112.9,35320.0,10.625441167311596
654,Waiters and waitresses,-16.740652,4.860407,2613.8,22890.0,51.12533618471374
656,Water and wastewater treatment plant and system operators,3.3294973,-15.124043,126.4,47760.0,11.242775458044157
657,"Weighers, measurers, checkers, and samplers, recordkeeping",-1.9196643,-15.273768,61.3,35040.0,7.829431652425353
658,"Welders, cutters, solderers, and brazers",-25.803692,-10.559315,438.9,42490.0,20.949940334043912
659,"Welding, soldering, and brazing machine setters, operators, and tenders",-22.327013,-18.836987,37.2,38310.0,6.099180272790763
662,"Woodworking machine setters, operators, and tenders, except sawing",-29.45839,-6.9668126,79.3,30990.0,8.905054744357274
663,Word processors and typists,-8.538709,11.786203,52.7,40340.0,7.259476565152615
664,Writers and authors,2.324801,18.334223,131.2,63200.0,11.454256850621082
